ZED (Init) >> Video mode: HD720@30
 Press 'q' to quit.
Translation: tx: 0.000, ty:  0.000, tz:  0.000, timestamp: 1520711434441635769
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: -0.001, ty:  0.000, tz:  0.000, timestamp: 1520711434475094642
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: -0.001, ty:  0.000, tz:  0.000, timestamp: 1520711434924852360
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: -0.001, ty:  0.000, tz:  0.000, timestamp: 1520711435021249847
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: -0.001, ty:  0.000, tz:  0.000, timestamp: 1520711435064167230
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: -0.000, ty:  0.000, tz:  0.000, timestamp: 1520711435135415928
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: -0.000, ty:  0.000, tz:  0.000, timestamp: 1520711435195680920
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: -0.000, ty:  0.000, tz:  0.000, timestamp: 1520711435243836956
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: -0.000, ty:  0.000, tz:  0.000, timestamp: 1520711435303710285
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: -0.000, ty:  0.000, tz:  0.000, timestamp: 1520711435359865782
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: -0.000, ty:  0.000, tz:  0.000, timestamp: 1520711435422588929
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: -0.000, ty:  0.000, tz:  0.000, timestamp: 1520711435491236087
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: -0.000, ty:  0.000, tz:  0.000, timestamp: 1520711435529754864
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: -0.000, ty:  0.000, tz:  0.000, timestamp: 1520711435607961782
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: -0.000, ty:  0.000, tz:  0.000, timestamp: 1520711435665592213
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: 0.000, ty:  0.000, tz:  -0.000, timestamp: 1520711435731044087
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: 0.000, ty:  0.000, tz:  -0.000, timestamp: 1520711435783371492
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: 0.000, ty:  0.000, tz:  -0.000, timestamp: 1520711435831998409
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: 0.000, ty:  0.000, tz:  -0.000, timestamp: 1520711435897436429
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: 0.000, ty:  0.000, tz:  -0.000, timestamp: 1520711435945441789
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: 0.000, ty:  0.000, tz:  -0.000, timestamp: 1520711436006704897
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: 0.000, ty:  0.000, tz:  -0.000, timestamp: 1520711436058795899
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: 0.000, ty:  0.000, tz:  -0.000, timestamp: 1520711436096530151
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: 0.000, ty:  0.000, tz:  -0.000, timestamp: 1520711436179106927
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: 0.000, ty:  0.000, tz:  -0.000, timestamp: 1520711436220116203
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: 0.000, ty:  0.000, tz:  -0.000, timestamp: 1520711436285816564
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: 0.000, ty:  0.000, tz:  0.000, timestamp: 1520711436334189317
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: 0.000, ty:  0.000, tz:  0.000, timestamp: 1520711436397669750
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: 0.000, ty:  0.000, tz:  0.000, timestamp: 1520711436497286012
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: 0.000, ty:  0.000, tz:  0.000, timestamp: 1520711436600692292
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: 0.000, ty:  0.000, tz:  0.000, timestamp: 1520711436674889767
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: 0.000, ty:  0.000, tz:  0.000, timestamp: 1520711436714415097
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: 0.000, ty:  0.000, tz:  0.000, timestamp: 1520711436772295162
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: 0.000, ty:  0.000, tz:  0.000, timestamp: 1520711436877679082
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: 0.000, ty:  0.000, tz:  0.000, timestamp: 1520711436926884744
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: -0.000, ty:  0.000, tz:  0.000, timestamp: 1520711437042451596
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: -0.000, ty:  0.000, tz:  0.000, timestamp: 1520711437135691872
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: -0.000, ty:  0.000, tz:  0.000, timestamp: 1520711437187696208
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: -0.000, ty:  0.000, tz:  0.000, timestamp: 1520711437248183959
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: -0.000, ty:  0.000, tz:  0.000, timestamp: 1520711437295843489
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: -0.000, ty:  0.000, tz:  0.000, timestamp: 1520711437352993561
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: -0.000, ty:  0.000, tz:  0.000, timestamp: 1520711437409175985
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: -0.000, ty:  0.000, tz:  0.000, timestamp: 1520711437466663607
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: -0.000, ty:  0.000, tz:  0.000, timestamp: 1520711437508911309
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: -0.000, ty:  0.000, tz:  0.000, timestamp: 1520711437571196753
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: -0.000, ty:  0.000, tz:  0.000, timestamp: 1520711437616975987
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: -0.000, ty:  0.000, tz:  0.000, timestamp: 1520711437675069020
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: -0.000, ty:  0.000, tz:  0.000, timestamp: 1520711437730822958
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: -0.000, ty:  0.000, tz:  0.000, timestamp: 1520711437781807355
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: -0.000, ty:  0.000, tz:  0.000, timestamp: 1520711437878116667
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: -0.000, ty:  0.000, tz:  0.000, timestamp: 1520711437976915957
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: -0.000, ty:  0.000, tz:  0.000, timestamp: 1520711438025120379
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: -0.000, ty:  0.000, tz:  0.000, timestamp: 1520711438065206694
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: -0.000, ty:  0.000, tz:  0.000, timestamp: 1520711438107409293
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: -0.000, ty:  0.000, tz:  0.000, timestamp: 1520711438202824447
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: -0.000, ty:  0.000, tz:  0.000, timestamp: 1520711438253863167
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: 0.000, ty:  0.000, tz:  0.000, timestamp: 1520711438307612071
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: 0.000, ty:  0.000, tz:  0.000, timestamp: 1520711438371642812
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: 0.000, ty:  0.000, tz:  0.000, timestamp: 1520711438429473712
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: 0.000, ty:  0.000, tz:  0.000, timestamp: 1520711438494758973
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: 0.000, ty:  0.000, tz:  0.000, timestamp: 1520711438539841339
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: 0.000, ty:  0.000, tz:  0.000, timestamp: 1520711438610018172
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: 0.000, ty:  0.000, tz:  -0.000, timestamp: 1520711438655346629
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: 0.000, ty:  0.000, tz:  -0.000, timestamp: 1520711438727660371
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: 0.000, ty:  0.000, tz:  -0.000, timestamp: 1520711438780346836
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: 0.000, ty:  0.000, tz:  -0.000, timestamp: 1520711438820338986
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: 0.000, ty:  0.000, tz:  -0.000, timestamp: 1520711438875238088
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: 0.000, ty:  0.000, tz:  0.000, timestamp: 1520711438923043607
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: 0.000, ty:  0.000, tz:  0.000, timestamp: 1520711438987935122
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: 0.000, ty:  0.000, tz:  0.000, timestamp: 1520711439045070351
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: 0.000, ty:  0.000, tz:  0.000, timestamp: 1520711439083861053
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: 0.000, ty:  0.000, tz:  0.000, timestamp: 1520711439152030196
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: 0.000, ty:  0.000, tz:  0.000, timestamp: 1520711439193799674
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: 0.000, ty:  0.000, tz:  0.000, timestamp: 1520711439269736405
Orientation: ox: 0.000, oy:  0.000, oz:  0.000, ow: 1.000
Translation: tx: 0.000, ty:  0.000, tz:  0.000, timestamp: 1520711439314196016
